Formula,SatAgg,Accuracy,Precision,Recall,F1
Scene_Index,10232.8,0.4,0.4,1.0,0.5714285714285714
3.1.3_Unique,0.9998258590698242,0.6,0.6,1.0,0.75
3.1.3_Cover,0.9997012376785278,0.4,0.4,1.0,0.5714285714285714
3.2.2_Irreflex,0.4999499678611755,0.4,0.0,0.0,0.0
3.2.2_Asymm,0.8608502745628357,0.4,0.4,1.0,0.5714285714285714
3.2.2_Inverse,0.7530276656150818,0.4,0.4,1.0,0.5714285714285714
3.2.2_Transit,0.9589635133743286,0.4,0.4,1.0,0.5714285714285714
3.2.3_LastLeft,0.7600210428237915,0.4,0.4,1.0,0.5714285714285714
3.2.3_LastRight,0.7479722142219544,0.4,0.4,1.0,0.5714285714285714
3.2.3_Sq_Ci_Constraint,0.8326704263687134,0.4,0.4,1.0,0.5714285714285714
3.2.3_Exist_left_Sq,0.7207357287406921,0.6,0.5,1.0,0.6666666666666666
Task3_Vert_Inv,0.7389846205711365,0.4,0.4,1.0,0.5714285714285714
Task3_Vert_Trans,0.9524235129356384,0.4,0.4,1.0,0.5714285714285714
Task3_StackRule,0.9997999668121338,1.0,1.0,1.0,1.0
3.3.1_ComplexQuery,0.04495786618790589,0.6,0.0,0.0,0.0
3.3.2_ConeInBetween,0.00014279789465945213,0.6,0.0,0.0,0.0
3.3.3_ProxRule,0.9998409509658813,0.4,0.4,1.0,0.5714285714285714
